Timestamp,hour,day,year,Reading
2023-01-08 11:00:00,11,6,2023,0.26913802419688515
2023-01-02 00:00:00,0,0,2023,0.4539738332569887
2023-01-09 17:00:00,17,0,2023,0.5140239799779084
2023-01-08 15:00:00,15,6,2023,0.38722843624701997
2023-01-09 11:00:00,11,0,2023,0.4053031818658256
2023-01-06 12:00:00,12,4,2023,0.5510384940985561
2023-01-03 03:00:00,3,1,2023,0.5404495781992158
2023-01-07 10:00:00,10,5,2023,0.5451257539091
2023-01-10 00:00:00,0,1,2023,0.19300522004449253
2023-01-08 22:00:00,22,6,2023,0.6168105246867303
2023-01-02 09:00:00,9,0,2023,0.3300519596896154
2023-01-06 07:00:00,7,4,2023,0.47216017468767457
2023-01-02 05:00:00,5,0,2023,0.4625545568475451
2023-01-02 00:00:00,0,0,2023,0.396239256164589
2023-01-05 22:00:00,22,3,2023,0.25600956880970605
2023-01-01 18:00:00,18,6,2023,0.47998948215877635
2023-01-08 10:00:00,10,6,2023,0.5009996315411819
2023-01-06 15:00:00,15,4,2023,0.38362458576539693
2023-01-04 22:00:00,22,2,2023,0.5158217661741684
2023-01-02 03:00:00,3,0,2023,0.4323523785391232
2023-01-04 09:00:00,9,2,2023,0.2865249354851658
2023-01-04 02:00:00,2,2,2023,0.47320318900456226
2023-01-03 08:00:00,8,1,2023,0.4754401323991536
2023-01-10 12:00:00,12,1,2023,0.4385559651832748
2023-01-04 07:00:00,7,2,2023,0.3683150104519246
2023-01-05 23:00:00,23,3,2023,0.5458813619429784
2023-01-04 13:00:00,13,2,2023,0.3425568400203949
2023-01-05 17:00:00,17,3,2023,0.5460534754949412
2023-01-04 21:00:00,21,2,2023,0.6176446986794228
2023-01-08 10:00:00,10,6,2023,0.48855348976837176
2023-01-03 09:00:00,9,1,2023,0.3725872572104627
2023-01-08 15:00:00,15,6,2023,0.6971384053396353
2023-01-08 19:00:00,19,6,2023,0.6948190004205883
2023-01-03 14:00:00,14,1,2023,0.7098570985446888
2023-01-01 13:00:00,13,6,2023,0.2927513867969299
2023-01-09 00:00:00,0,0,2023,0.5593961260837447
2023-01-09 11:00:00,11,0,2023,0.2844947859488679
2023-01-03 05:00:00,5,1,2023,0.3802191409938961
2023-01-07 01:00:00,1,5,2023,0.5343310656902943
2023-01-05 07:00:00,7,3,2023,0.5176196698951708
2023-01-05 02:00:00,2,3,2023,0.3427090753405836
